epoch,accuracy,loss,val_accuracy,val_loss
0,0.7089999914169312,0.7342731356620789,0.8487499952316284,0.3178728222846985
1,0.828000009059906,0.4041770100593567,0.8949999809265137,0.28174805641174316
2,0.8740000128746033,0.3276064395904541,0.8512499928474426,0.3381770849227905
3,0.8899999856948853,0.2951226532459259,0.893750011920929,0.27268123626708984
4,0.9150000214576721,0.22021010518074036,0.9024999737739563,0.3051075041294098
5,0.9210000038146973,0.1972031146287918,0.9012500047683716,0.2962399125099182
6,0.9490000009536743,0.15096578001976013,0.8974999785423279,0.3005084693431854
7,0.949999988079071,0.12261269241571426,0.8700000047683716,0.4377116858959198
8,0.9470000267028809,0.13615326583385468,0.8887500166893005,0.37097370624542236
9,0.953000009059906,0.12430088967084885,0.8650000095367432,0.4587255120277405
